Community,Id,Request,Score1,Score2,Score3,Score4,Score5,TurkId1,TurkId2,TurkId3,TurkId4,TurkId5,Normalized Score,Average,Classification,0.768701472
Wikipedia,623961,You removed posts by me as well.  Do you have any explanation?,12,9,10,9,13,AYG3MF094634L,A1F4D2PZ7NNWTL,A37ADCYLCSB5O2,A38N58BSMTA0BE,A2JKFTV0JXWMI6,-0.960858887,10.6,Rude,0.006934767
Wikipedia,623072,And now you undid my declination of that one which was copyrighted. Would you ''please'' quit undoing my declinations?,9,13,5,2,5,A233ONYNWKDIYF,A2UFD1I8ZO1V4G,A872FSFU7WV6W,A1F4D2PZ7NNWTL,A13CO3B2BRXQLZ,-1.700766348,6.8,Rude,0.008010316
Wikipedia,476702,Further: it seems to me that <url> was a perfectly reasonable dab page. I wonder why you needed to change it?,9,13,5,5,9,A233ONYNWKDIYF,A2UFD1I8ZO1V4G,A2AMGE57IJVSHF,A29B522D0BX6HN,AIPK94CUWL45W,-1.309210903,8.2,Rude,0.008189151
Wikipedia,66675,"How exactly is a one-time martial arts tournament, all of whose participants are red-links, notable? Is Wikipedia to have separate articles for every martial arts tournament ever broadcast on television?",9,9,13,13,7,A233ONYNWKDIYF,A2EJ6MKRFATU5I,A2UFD1I8ZO1V4G,A3S5L3I8O3Q2G,A29B522D0BX6HN,-0.858913794,10.2,Rude,0.008287633
Wikipedia,626868,"uh, okay lol :)  no, i dont think i am (although i dont remember drinking any at all..), and um? okay?",9,5,9,10,21,A233ONYNWKDIYF,A2QN0EGBRGJU1M,AC25X12LNYY6Y,AMJAP6BGF5LVM,A2NRW37D7QPLRE,-0.725717806,10.8,Rude,0.008524746
Wikipedia,584834,That might be very helpful. How can I get it?,17,17,13,21,17,A1T5YMBH35PDBX,A233ONYNWKDIYF,A3S5L3I8O3Q2G,A1G05O3HM7DNVZ,AIPK94CUWL45W,0.613838988,17,Polite,0.009458658
Wikipedia,543807,"I'd be shocked if no one has asked you this yet, but you do an enormous amount of work keeping the bio articles free of vandalism and nonsense as well as filling them up with useful content ;) You seem like you could use a few extra buttons on your toolbar. Are you interested in being nominated for adminship?",17,25,16,21,25,A16PRU8T6NZLN5,A1BJTTNDDFZ3ZP,AVHARSCRX7M9E,AQWC8BPA9JB7T,A1KC138MX47DXA,1.501822189,20.8,Polite,0.009767673
Wikipedia,152418,Can I get some time to finish what I am doing without everything being deleted??,17,9,9,13,5,A233ONYNWKDIYF,A2EJ6MKRFATU5I,A2UFD1I8ZO1V4G,A3S5L3I8O3Q2G,AIPK94CUWL45W,-1.15413236,10.6,Rude,0.010307202
Wikipedia,623393,Sorry... haven't unblocked many people before. Is it ok now?,13,19,17,17,17,A233ONYNWKDIYF,A6YO9886DY2SC,A3EJ5TT2ZGBIDA,A1DTQSIIYIZL62,A1Y3Z92RE62NPS,0.682535344,16.6,Polite,0.01062822
Wikipedia,377049,"Soman, since you visited the Swedish Social Democratic Party site in May 2010, did you put the May 2010 ""(This article) may need to be rewritten entirely to comply with Wikipedia's quality standards"" atomic bomb tag at the top of the article? If so, will you clarify which sections you feel are inappropriate to a discussion of the political party, and what sort of focus you'd prefer to see, and why?",17,16,17,15,21,A233ONYNWKDIYF,AZN83WTGUR1JZ,A2UFD1I8ZO1V4G,A28TXBSZPWMEU9,A29B522D0BX6HN,0.651701358,17.2,Polite,0.011034354
Wikipedia,623354,The deletion review page linked above contains all the instructions for requesting a review. Why did you not read these instructions?,3,9,5,5,12,A6YO9886DY2SC,A1T546143DSJDI,A3CFNUD7VR2E1E,A2LQ33BQ8G259D,A2UBXHCHM2I6IL,-1.40711343,6.8,Rude,0.01108129
Wikipedia,623071,"So basically, I've come across the edit conflict warning, and I simply copy my text, and paste it to the latest version of the article. I think you are saying that people insert 'edit conflict' to show that if any continuity is broken, it is because the comment was intended for a previous version of the article?",9,13,15,13,9,A16PRU8T6NZLN5,A1TLLJDX8H4JP1,A2UBXHCHM2I6IL,A1RT9SQ9D9DLOV,A3FGBGZ4RKH712,-0.388604608,11.8,Rude,0.011218174
Wikipedia,421161,"Any more of this hoax crap at <url>, <url>, Eyre/Heller garbage, and you will be '''''permanently''''' banned from editing.  Is that clear?",5,1,1,5,9,A2UFD1I8ZO1V4G,A1UEZLJ583HSV5,A28TXBSZPWMEU9,A28ZB4ZB13BWAI,AIPK94CUWL45W,-2.536777733,4.2,Rude,0.011293842
Wikipedia,349495,Thanks for adding that pmc= support to <url>. I made a suggestion for further improvement in <url>; can you please follow up there if you have the time?,21,17,21,21,21,A233ONYNWKDIYF,A2UFD1I8ZO1V4G,A2QH1BQA6GR48O,A3GOI327COFGY5,A00613921OIEGJA322163,1.278414164,20.2,Polite,0.011561857
Wikipedia,49677,What do you think? Do these subdivisions make sense?,17,21,13,14,21,A233ONYNWKDIYF,APDWVWS2HMSFD,A2UFD1I8ZO1V4G,A28TXBSZPWMEU9,A2CE0KVP4A8J8K,0.441936755,17.2,Polite,0.011657128
Wikipedia,630281,"xD if you say so! By the way, what's your favorite game ever?",15,17,17,13,21,A21753FQKCM5DQ,A2UFD1I8ZO1V4G,AAZKHFKG1B8VQ,A2LQ33BQ8G259D,A1F4D2PZ7NNWTL,0.7005244,16.6,Polite,0.012475305
Wikipedia,123478,OK then. You take your time with what ever you do OK?,11,9,9,13,17,AYG3MF094634L,A302M81U0HM7RJ,A3TFQK7QK8X6LM,A34BMGP23XTAMN,A1HHQL4N00WU03,-0.400719259,11.8,Rude,0.012798811
Wikipedia,341001,"I think the we've reached consensus in the FAC for <url>, as every opposing reason has been resolved.  Do you think it's looking good?",17,19,17,16,17,A233ONYNWKDIYF,A2WKPCZU4U110T,A2UFD1I8ZO1V4G,A2ULMYRKQMNNFG,A37ADCYLCSB5O2,0.690230722,17.2,Polite,0.013089663
Wikipedia,28255,If the deleted image only has a single character then no need to restore. Would you be against adding an image illustrating the 4 protagonist dinosaurs?,17,17,25,17,20,A233ONYNWKDIYF,AEWF3138PFWEN,A1GWSZ4I2QGCNJ,A2ULMYRKQMNNFG,AZ1RJVNOZFIWV,0.927319594,19.2,Polite,0.013932111
Wikipedia,582113,"I know, I understood that. :)  I didn't scold you for it at all, did I make you feel that way?",14,21,19,20,9,AYG3MF094634L,A26NYABOD7YBW8,A38WUWONC7EXTO,A872FSFU7WV6W,AEYHIQUDWJ3KV,0.64186406,16.6,Polite,0.015181072
Wikipedia,622123,"Wow, thanks for pointing that out. I'm having a bad night, and all the theading... anyway, did I get them all?",13,16,17,21,17,A233ONYNWKDIYF,A22SZHZTF72TRM,A199E33VY97TR,A1TMK6G1BLKVS2,A3EJ5TT2ZGBIDA,0.628312639,16.8,Polite,0.01685796
Wikipedia,497186,"I fail to see how you call copyleft ""selfish"", but are fine with the idea of totally proprietary licenses. Wouldn't those be even more selfish, then?",5,6,9,7,14,AO5E3LWBYM72K,A1F4D2PZ7NNWTL,A13CO3B2BRXQLZ,A1Y3Z92RE62NPS,A2WZQ92N4809N1,-1.494153492,8.2,Rude,0.017497937
Wikipedia,388604,"Hey, you seem to know a bit about coding, so I figured you might have an answer here. If I want use code to grab the target of a page known to be a redirect, how would I do that?",17,17,13,21,20,A233ONYNWKDIYF,A2UFD1I8ZO1V4G,A3S5L3I8O3Q2G,A26YKYQIA3GX8B,A28TXBSZPWMEU9,0.803960199,17.6,Polite,0.01762034
Wikipedia,526560,"I'd really like to keep the image, just because it's of a Medal of Honor winner.  Is there a way to shrink the table, or another place in the article (Like the Footnotes section) where the image would work?",19,19,17,17,17,ANGX5PAAYGL9P,ANMGOZ451W9ZN,A1KC138MX47DXA,A1F4D2PZ7NNWTL,AZ1RJVNOZFIWV,0.598718244,17.8,Polite,0.01836635
Wikipedia,605594,"I see you moved and renamed... um, it... to <url>. Are you sure about that, given the conventions at <url>?",16,11,5,14,9,A28CT45SLXOQBY,AO5E3LWBYM72K,A1TLLJDX8H4JP1,A1E0EK09CA5OIO,A1F4D2PZ7NNWTL,-0.672857887,11,Rude,0.018616883
Wikipedia,629503,"Hey Love, as you wish, if you  have any suggestions about my section, let me know.  Is English a second language for you?",13,9,16,5,5,A233ONYNWKDIYF,A1TLLJDX8H4JP1,AC25X12LNYY6Y,A1F4D2PZ7NNWTL,AEYHIQUDWJ3KV,-0.810701212,9.6,Rude,0.018815006
Wikipedia,34687,It's not too late to help at all - being busy has kept the work on it to a crawl.  ;)  I'd like to represent what you are referring to; was it on the Abom talk page or somewhere else?,17,20,23,15,21,A2QN0EGBRGJU1M,A2YFPO0N4GIS25,A2GSW5RBAT5LQ5,A1F4D2PZ7NNWTL,ABM77ZQWCHPNX,1.286982532,19.2,Polite,0.018857557
Wikipedia,620088,Denied. I take it then that you deny responsiblity for an account (which I'll not name here) created just four minutes after you made that edit?,9,13,4,12,5,A233ONYNWKDIYF,A2UFD1I8ZO1V4G,A2QN0EGBRGJU1M,AYG3MF094634L,A1F4D2PZ7NNWTL,-1.416769986,8.6,Rude,0.019611088
Wikipedia,81143,You're welcome. Do you have an opinion as to whether they would be worth adding to <url>?,17,16,21,17,17,A2UFD1I8ZO1V4G,A22SZHZTF72TRM,A2LQ33BQ8G259D,A1RT9SQ9D9DLOV,A22CF8BF9YQND7,0.893406822,17.6,Polite,0.019928456
Wikipedia,628496,"I see you've just placed a deletion request on your user page, but this page has no history and hasn't been edited previously.  Did you mean to place it on the article you created, <url>?",17,17,20,17,17,A2UFD1I8ZO1V4G,AYG3MF094634L,AO5E3LWBYM72K,A1RT9SQ9D9DLOV,AD1IH74UX9IAI,0.849143661,17.6,Polite,0.020047772
Wikipedia,239278,"Most of the editors who would care about the deletion of KiK's threads are the ones who would agree with him, so it's pointless to warn them.  Hell ... come to think of it, hasn't KiK been all over their talk pages, with them high-fiving each other?",9,3,18,5,10,A233ONYNWKDIYF,AO5E3LWBYM72K,A3LXBP8T6JMY9B,A204JAK7QRDWVM,A1KC138MX47DXA,-1.010973719,9,Rude,0.020603641
Wikipedia,630692,What do you think? Is there a mistake somewhere?,13,13,19,17,21,A233ONYNWKDIYF,A1BJTTNDDFZ3ZP,A1F4D2PZ7NNWTL,AD1IH74UX9IAI,A3TFQK7QK8X6LM,0.576826917,16.6,Polite,0.020771276
Wikipedia,623775,"The link you provided to speedy delection criteria only goes up to CSD12, and there is no CSD 13 listed there.  Could you clarify?",21,21,17,15,10,A1486XFUE4FA27,A9Y5N2QRY4PNW,AE3D6SE2D8UPQ,A2UBXHCHM2I6IL,A2MR8AA4I9S89Y,0.679062606,16.8,Polite,0.020829473
Wikipedia,345879,Where did you get the tracklist for the album? Can you please drop me a messafe with the link?,17,21,17,22,18,A1T5YMBH35PDBX,A233ONYNWKDIYF,A3S5L3I8O3Q2G,A28TXBSZPWMEU9,A2GODV4YZGD8X9,1.318247951,19,Polite,0.021568985
Wikipedia,133725,"I don't think I've used it in Wikipedia.  So, if I haven't, why did you bring it up?",9,9,10,9,13,A2UFD1I8ZO1V4G,A3Q5YG3X67WHFD,A3EJ5TT2ZGBIDA,A38WUWONC7EXTO,A1DTQSIIYIZL62,-1.013974425,10,Rude,0.022075483
Wikipedia,629461,"I use Linux for all practical purposes too, but I have Windows on my laptop because the wireless card does not work with Linux. Are you in Moldova or abroad?",21,17,13,21,17,A2X9AEDAHF7O7S,A3LSDGSZQEK7NF,A34A6MSJTD9A4L,A3E157ZN8XPUKJ,AC25X12LNYY6Y,0.289898811,17.8,Polite,0.023294647
Wikipedia,231700,"Hi, I noticed that you've pointed out an accuracy in the restoration of <url> used in the article. I've just started up a review page for paleoart here, and started a section for that image: <url> Would you mind commenting on it so it can be fixed?",21,17,17,21,17,A233ONYNWKDIYF,A2UFD1I8ZO1V4G,A3S5L3I8O3Q2G,A26YKYQIA3GX8B,AIPK94CUWL45W,1.170661209,18.6,Polite,0.023370053
Wikipedia,603317,"I really had intended ot get back to this, and to get out to see it.   How about:   ....that <url> was built from plans found in the <url>'s pocket when he died of a heart attack?",16,13,13,13,5,A1T5YMBH35PDBX,A233ONYNWKDIYF,A2UFD1I8ZO1V4G,AIPK94CUWL45W,A3IHLWMZNBLUR4,-0.432595047,12,Rude,0.024615916
Wikipedia,40765,Why do you have a problem with the inclusion of Lady Bristol's persona prior to her 2nd marriage? And to the inclusion of Somerset's son-in-law?,10,10,9,9,9,A1T5YMBH35PDBX,A049499332VKQ31EB7MV5,AO3XB5I5QNNUI,A3SQ6ORWDN5BGZ,AMSWIR4J9XEIJ,-1.032672027,9.4,Rude,0.024638773
Wikipedia,203939,"If the Russia tricolor is not the flag of the Lokot Autonomy, than what is? Is the flag even available on Wikipedia?",9,13,1,17,13,A233ONYNWKDIYF,A2UFD1I8ZO1V4G,A26YKYQIA3GX8B,A1G05O3HM7DNVZ,AIPK94CUWL45W,-0.844517153,10.6,Rude,0.024896724
Wikipedia,484092,You blocked <url> earlier today: now we have <url> (<url>) (<url>). He's only done one nonsense page so far: is the name similarity enough to block as a sock?,13,9,13,12,13,A3S5L3I8O3Q2G,A26YKYQIA3GX8B,A28TXBSZPWMEU9,A29B522D0BX6HN,AIPK94CUWL45W,-0.388336131,12,Rude,0.02511165
Wikipedia,263566,Let me know when's convenient and I'll put the kettle on. Tea or coffee?,17,23,20,17,20,A2UFD1I8ZO1V4G,A1QV3X9YMQQ3OQ,AVHARSCRX7M9E,A13CO3B2BRXQLZ,AEYHIQUDWJ3KV,1.270400495,19.4,Polite,0.025183531
Wikipedia,145860,"Question: Is the purpose of the name parameter to show the name of the person as listed at the linked site, or is it to write in whatever the editor thinks he name should be shown as (i.e. damn the sources)?",14,9,13,13,10,A1T5YMBH35PDBX,A233ONYNWKDIYF,A2UFD1I8ZO1V4G,A2QH1BQA6GR48O,A2AMGE57IJVSHF,-0.426831328,11.8,Rude,0.026261866
Wikipedia,86248,"Thanks for readjusting the <url> remarks on stationsby - I must confess I'm not that much into Danish history, so my edit contained some guesswork... thanks for correcting me. Do I understand correctly that a Stationsby would not be the station that originaly is intended for a town further away, around which then a new town grows up?",21,21,21,20,17,A233ONYNWKDIYF,APDWVWS2HMSFD,AD317NO9623GZ,A28TXBSZPWMEU9,AIPK94CUWL45W,1.350847533,20,Polite,0.027005841
Wikipedia,624290,"Okay, I will fix the ""crystals"", but how do I put myself up for adoption again? Will you kindergarten <url> me through the process?",14,1,13,4,13,A21753FQKCM5DQ,A1QV3X9YMQQ3OQ,A2GSW5RBAT5LQ5,A1F4D2PZ7NNWTL,A13CO3B2BRXQLZ,-0.967990741,9,Rude,0.027009481
Wikipedia,168298,The main article needs a facelift. Do you want to make suggestions?,17,20,18,15,17,A2UFD1I8ZO1V4G,A6YO9886DY2SC,AO5E3LWBYM72K,ARYGQ46IMW8AU,A1Y3Z92RE62NPS,0.578577052,17.4,Polite,0.027131196
Wikipedia,225961,"So, now that it's clear there's no moratorium, you now think it's controverial?  Can you explain why?",7,17,4,18,9,A1486XFUE4FA27,A21753FQKCM5DQ,A1FF4KWG1G44QE,AEYHIQUDWJ3KV,A34ZSF2JSRXIRP,-0.300217805,11,Rude,0.027301424
Wikipedia,120942,"Thank you for caring re: my loss. We go on, because it's all we can ever do, y'know?",13,21,20,21,21,A233ONYNWKDIYF,A2UFD1I8ZO1V4G,A28TXBSZPWMEU9,AIPK94CUWL45W,A3IHLWMZNBLUR4,1.294905727,19.2,Polite,0.028087532
Wikipedia,412618,"<url> and I was wondering if you have worked on that project at all recently, or whether you know of any other open-source projects that implement your idea. Also, do you have any Wikibooks that you've written?",17,17,13,21,15,A233ONYNWKDIYF,A2UFD1I8ZO1V4G,A26YKYQIA3GX8B,A1G05O3HM7DNVZ,AIPK94CUWL45W,0.469720505,16.6,Polite,0.028332262
Wikipedia,621393,"No worries, thanks for doing that. Nice to hear from you again - new username for 2013?",15,17,23,25,25,A1RPVYUPJZGM9Z,A21753FQKCM5DQ,A2WKPCZU4U110T,AVWFW00UYDVUD,AO5E3LWBYM72K,1.404548388,21,Polite,0.028641248
Wikipedia,273534,Stole ur flag for my page. that ok?,5,11,11,13,10,ANMGOZ451W9ZN,A2MUBAL0UA1KUN,A2ULMYRKQMNNFG,A3EJ5TT2ZGBIDA,A37ADCYLCSB5O2,-1.265958966,10,Rude,0.02897125
Wikipedia,619320,"''Don't'' talk ''about'' me, in my virtual presence, and tell someone else to ignore me. Do you understand why this behavior is inappropriate?",11,6,13,2,9,AYG3MF094634L,A1F4D2PZ7NNWTL,A37ADCYLCSB5O2,A38N58BSMTA0BE,A2JKFTV0JXWMI6,-1.461985461,8.2,Rude,0.029221466
Wikipedia,575872,"You mean the links that are being edit warred over? I can, but first can you explain what the edit war was all about and what the point of the links are?",9,14,13,8,13,A233ONYNWKDIYF,A2QH1BQA6GR48O,ANVEDG15GV3QE,A29B522D0BX6HN,AIPK94CUWL45W,-0.548331151,11.4,Rude,0.029752095
Wikipedia,625057,"Again, why are you simply reverting wholesale and without any explanation? Would you rather the article be out of line with the policies and guidelines, among other problems?",5,9,14,8,4,AISPSIJ54U4SC,AE3D6SE2D8UPQ,AYG3MF094634L,A1E0EK09CA5OIO,AZOAW8JH5HJJK,-1.363110855,8,Rude,0.029831479
Wikipedia,626487,"What do you mean ""personal attack""? Why don't site what my ""personal attack"" is?",9,11,10,1,9,AE3D6SE2D8UPQ,A6YO9886DY2SC,A1BJTTNDDFZ3ZP,A1TLLJDX8H4JP1,A13CO3B2BRXQLZ,-0.996719376,8,Rude,0.030986112
Wikipedia,463412,I added a clarifying sentence to my user page <url>.  Do you think it distills the essence?,19,17,25,13,21,A2EJ6MKRFATU5I,A2UFD1I8ZO1V4G,AD317NO9623GZ,A28TXBSZPWMEU9,A236MXN66UEJW6,0.845726816,19,Polite,0.031120479
Wikipedia,620145,You are welcome. Do i correctly understand that you plan to use the <url> account as your primary account from now on?,9,21,23,17,16,A233ONYNWKDIYF,A21753FQKCM5DQ,A2VMJFBCB921NI,ARYGQ46IMW8AU,AZOAW8JH5HJJK,1.069530259,17.2,Polite,0.031199731
Wikipedia,627308,On the third reading... Why not include an edit summary that tells me this? Why not revert my revert?,13,9,12,15,11,A1VE0KG5BAO7EU,A3454T4PU9GJM0,A2ULMYRKQMNNFG,A872FSFU7WV6W,A1F4D2PZ7NNWTL,-0.502948391,12,Rude,0.031205535
Wikipedia,300104,"Hey, thanks for joining! Have any ideas you wish to add to the project?",21,16,18,8,21,A2YFPO0N4GIS25,A3MN5VOZFQPNZF,A1BJTTNDDFZ3ZP,AVHARSCRX7M9E,A1Y3Z92RE62NPS,0.945952656,16.8,Polite,0.031363532
Wikipedia,626690,"In my calculation if I got blocked that would only be good for me as it would clear my mind from the obsession to try and change that which seems wrong and mutable, but carries no private benefits for the reformer. Is that line of thinking truly alien to you?",9,10,5,1,9,A2UFD1I8ZO1V4G,A22SZHZTF72TRM,A1QV3X9YMQQ3OQ,A2MWGIVIKOXWYM,AEYHIQUDWJ3KV,-1.562176588,6.8,Rude,0.032202771
Wikipedia,440893,"Umm, it was renamed to <url> as you proposed. Is there something wrong?",17,7,10,11,13,A2UFD1I8ZO1V4G,A6YO9886DY2SC,A1KC138MX47DXA,A1F4D2PZ7NNWTL,A1RT9SQ9D9DLOV,-0.434023642,11.6,Rude,0.032794284
Wikipedia,380758,"I've just reinstated the perfectly valid redirect to this. I seem to remember there was some issue years ago with a rock group of the same name, but don't you look at these things before you delete?",5,9,5,5,9,A233ONYNWKDIYF,APDWVWS2HMSFD,A3GOI327COFGY5,A29B522D0BX6HN,A3IHLWMZNBLUR4,-1.556271499,6.6,Rude,0.033793711
Wikipedia,310376,"I believe you wanted to find out which party the PP was? Well i'm sure you'll be able to find it at http://elections.uwa.edu.au/partysearch.lasso - my guess is that it could be the Progress Party, who ran in the 1977 WA HoR election?",13,22,14,13,21,A3KPQ7L5FS8SD6,A3RL5VZ7Y9FEG4,A3GD6QGVN7PWFR,AO3XB5I5QNNUI,A3SQ6ORWDN5BGZ,0.629809302,16.6,Polite,0.034024883
Wikipedia,528758,"#On the other hand, linking years of actual encyclopedic events to ""1949 in NASCAR"" or ""1950 in motor racing"" <s>gives us a tool for eventually building those year-in-topic articles</s> automatically builds those categories.  Where some don't exist yet (like 1949 in both NASCAR and motor racing), are we better off adding the desired link and letting it be redlinked until the article is created, or just leaving it unlinked or wikilinked to the general year article such as <url>?",13,12,13,13,9,A233ONYNWKDIYF,AI4WWBB2PNCKH,A2UFD1I8ZO1V4G,A2QH1BQA6GR48O,A2CE0KVP4A8J8K,-0.394756071,12,Rude,0.034121204
Wikipedia,294342,"Bearing in mind your comments there, if you are doing JA in AE, is it worth getting up a collection to make you change your mind?  The arguments on MW are nothing compared to what JA would produce, surely?",13,13,1,13,16,A233ONYNWKDIYF,AYG3MF094634L,A2MWGIVIKOXWYM,A22CF8BF9YQND7,A38N58BSMTA0BE,-0.396486271,11.2,Rude,0.034612543
Wikipedia,377336,"BTW, small step, huh, from Berkely to Soman's talk page. What's next--Cambridge?",13,11,12,9,11,A233ONYNWKDIYF,AO5E3LWBYM72K,A3LXBP8T6JMY9B,A204JAK7QRDWVM,A1KC138MX47DXA,-0.767901111,11.2,Rude,0.035146268
Wikipedia,341534,I couldn't tell you why glam rock was there. Better?,9,9,13,5,13,A233ONYNWKDIYF,A2UFD1I8ZO1V4G,A3S5L3I8O3Q2G,A26YKYQIA3GX8B,A28TXBSZPWMEU9,-0.962906982,9.8,Rude,0.035368426
Wikipedia,423462,"What does this have to do with Zeitgeist? I posted on your talk page because this is no longer remotely about the article, why are you continuing to quarrel here?",5,13,7,5,2,A233ONYNWKDIYF,A2UFD1I8ZO1V4G,AVWFW00UYDVUD,AD1IH74UX9IAI,A38N58BSMTA0BE,-1.623132524,6.4,Rude,0.035505896
Wikipedia,502902,Sounds great. Do you think you could add this over at the dicsussion I've started at <url>?,21,17,21,21,18,A3G9MSZVWB7W42,A36UK50UE5YFVZ,A1JMINVUZ2AOZR,A3CA5S8GR8TZ1U,A38N58BSMTA0BE,0.94489221,19.6,Polite,0.035763101
Wikipedia,388359,I started on it. Do you more info on the last article on the list of references?,17,19,13,17,17,A233ONYNWKDIYF,AW6UIL04MLQ9N,A1BJTTNDDFZ3ZP,A2ULMYRKQMNNFG,A38WUWONC7EXTO,0.5871894,16.6,Polite,0.035964997
Wikipedia,591512,"Hi, thanks for unprotecting the <url> article. Could you also unprotect <url> so a redirect can be created?",15,21,17,17,21,A1T5YMBH35PDBX,A233ONYNWKDIYF,A2UFD1I8ZO1V4G,A2QH1BQA6GR48O,A2AMGE57IJVSHF,0.985612296,18.2,Polite,0.036767428
Wikipedia,618793,"I am an administrator on this project and my task is to enforce these rules. Now, will you cooperate or will I have to block you?",1,9,14,6,5,A233ONYNWKDIYF,A2X9AEDAHF7O7S,AYG3MF094634L,A1F4D2PZ7NNWTL,AZOAW8JH5HJJK,-1.780212351,7,Rude,0.036859783
Wikipedia,280072,"Since I have not been able to get an answer to this on the project page, let me ask you directly: Did you receive Durova's ""secret evidence"" prior to the blocking of <url>?",12,9,4,17,9,A1E0EK09CA5OIO,AO3XB5I5QNNUI,A31RP7HI5172B,A3SQ6ORWDN5BGZ,AMSWIR4J9XEIJ,-0.906063107,10.2,Rude,0.037093219
Wikipedia,621114,And  what did I do wrong???????????????????????,9,1,7,6,9,A2UFD1I8ZO1V4G,A3Q5YG3X67WHFD,A3EJ5TT2ZGBIDA,A38WUWONC7EXTO,A1DTQSIIYIZL62,-1.762476325,6.4,Rude,0.03717173
Wikipedia,64850,<url> has been promoted to A-class. Shouldn't that score?,13,5,13,10,13,A2VMJFBCB921NI,AJSVV9WS1SF2I,AVV4KDLSDAS9E,A1F4D2PZ7NNWTL,A1Y3Z92RE62NPS,-0.496863135,10.8,Rude,0.039574022
Wikipedia,626728,"Instead of another 3O, why don't you put in a <url>. And no, it's not a threat - it's an observation - why don't you <url>?",9,9,16,5,11,A233ONYNWKDIYF,A34A6MSJTD9A4L,AO5E3LWBYM72K,AQWC8BPA9JB7T,A37ADCYLCSB5O2,-1.275793574,10,Rude,0.040067804
Wikipedia,296846,Many thanks for the review. So what was the truce term ''you'' used when little then?,13,17,9,6,8,A233ONYNWKDIYF,A2UFD1I8ZO1V4G,A2MWGIVIKOXWYM,A1F4D2PZ7NNWTL,A38N58BSMTA0BE,-0.577076021,10.6,Rude,0.040117726
